"FileID","Target","TargetType","PrimeSpan20","PrimeSpan7","CorpusExample"
"C9U","angrier","synthetic","none","none","at/PRP the/AT0 directors/NN2 for/PRP failing/VVG to/TO0 appreciate/VVI his/DPS talents/NN2 and/CJC not/XX0 understanding/VVG what/DTQ he/PNP was/VBD driving/VVG at/PRP ,/PUN Dustin/NP0 was/VBD angrier/AJC"
"A7H","angrier","synthetic","none","none","the/AT0 Prince/NN1 thundered/VVD ,/PUN ‘/PUQ and/CJC get/VVB on/AVP and/CJC find/VVB a/AT0 way/NN1 ./PUN ’/PUQ Bureaucracy/NN1 and/CJC red/AJ0 tape/NN1 make/VVB him/PNP angrier/AJC"
"A0L","angrier","synthetic","none","none","nonsense/NN1 ./PUN Jay/NP0 demanded/VVD ,/PUN her/DPS voice/NN1 ugly/AJ0 ,/PUN feeling/VVG so/AV0 far/AV0 away/AV0 she/PNP could/VM0 lose/VVI no/AT0 more/AV0 ,/PUN the/AT0 angrier/AJC"
"G02","angrier","synthetic","none","none","lectures/NN2 in/PRP infant-theology/NN1-AJ0 and/CJC set/VVD about/AVP proving/VVG-AJ0 things/NN2 with/PRP a/AT0 prism/NN1 ./PUN Apparently/AV0 her/DPS lack/NN1 of/PRF repentance/NN1 only/AV0 made/VVD-VVN me/PNP angrier/AJC"
"JYB","angrier","synthetic","none","none","lilt/NN1 to/PRP it/PNP ./PUN It/PNP made/VVD her/DPS toes/NN2 curl/VVB-NN1 just/AV0 listening/VVG-AJ0 to/PRP him/PNP ,/PUN and/CJC perversely/AV0 that/CJT-DT0 made/VVD her/PNP even/AV0 angrier/AJC"
"AB3","angrier","synthetic","none","none","a/AT0 child/NN1 ./PUN ’/PUQ Does/VDZ n't/XX0 that/DT0 mean/VVI you/PNP have/VHB even/AV0 less/DT0 responsibility/NN1 ?/PUN Would/VM0 n't/XX0 that/DT0 make/VVI you/PNP even/AV0 angrier/AJC"
"G3P","angrier","synthetic","none","none","calls/NN2 and/CJC cries/NN2 of/PRF babies/NN2 ./PUN Death/NN1 raced/VVD from/PRP room/NN1 to/PRP room/NN1 ,/PUN his/DPS robe/NN1 flapping/VVG-NN1 ./PUN His/DPS voice/NN1 was/VBD angrier/AJC"
"JY4","angrier","synthetic","none","none","would/VM0 pay/VVI to/TO0 save/VVI my/DPS life/NN1 ,/PUN ’/PUQ he/PNP reminded/VVD her/PNP ,/PUN his/DPS eyes/NN2 glinting/VVG humorously/AV0 ,/PUN which/DTQ made/VVD Ruth/NP0 angrier/AJC"
"GVP","angrier","synthetic","none","none","./PUN Erdle/NP0-NN1 kept/VVD hinting/VVG that/CJT he/PNP knew/VVD of/PRF something/PNI unsavoury/AJ0 about/PRP him/PNP —/PUN or/CJC possibly/AV0 his/DPS family/NN1 —/PUN and/CJC the/AT0 angrier/AJC"
"BMS","angrier","synthetic","none","none","n't/XX0 ,/PUN it/PNP 's/VBZ filled/VVN with/PRP filth/NN1 like/PRP all/DT0 these/DT0 dustbins/NN2 ./PUN ’/PUQ But/CJC it/PNP made/VVD no/AT0 difference/NN1 ./PUN The/AT0 angrier/AJC"
"GWH","angrier","synthetic","none","none","listening/VVG at/PRP the/AT0 door/NN1 ,/PUN Edgar/NP0 ?/PUN ’/PUQ asked/VVD Catherine/NP0 coldly/AV0 ./PUN Heathcliff/NP0-NN1 laughed/VVD ,/PUN which/DTQ made/VVD Mr/NP0 Edgar/NP0 even/AV0 angrier/AJC"
"B3J","angrier","synthetic","none","none","was/VBD a/AT0 bit/NN1 unsure/AJ0 how/AVQ to/TO0 take/VVI him/PNP as/CJS he/PNP stood/VVD there/AV0 swaying/VVG and/CJC Billy/NP0 's/POS befuddled/AJ0 mind/NN1 was/VBD getting/VVG angrier/AJC"
"JXT","angrier","synthetic","none","none","feeling/NN1-VVG angry/AJ0 and/CJC on/PRP edge/NN1 ./PUN There/EX0 'd/VHD been/VBN yet/AV0 another/DT0 cancelled/VVD lesson/NN1 only/AV0 today/AV0 and/CJC Ronni/NP0 was/VBD feeling/VVG even/AV0 angrier/AJC"
"J54","angrier","synthetic","none","none","'/PUQ You/PNP 're/VBB being/VBG very/AV0 silly/AJ0 ,/PUN Jenny/NP0 ./PUN He/PNP 's/VBZ bound/VVN to/TO0 find/VVI out/AVP and/CJC then/AV0 he/PNP 'll/VM0 be/VBI angrier/AJC"
"H8H","angrier","synthetic","none","none","but/CJC the/AT0 mere/AJ0 thought/NN1 of/PRF Piers/NN2 with/PRP Nicole/NP0 had/VHD made/VVN her/PNP see/VVB red/AJ0-NN1 ,/PUN and/CJC her/DPS reaction/NN1 had/VHD made/VVN her/DPS angrier/AJC"
"H8T","angrier","synthetic","none","none",",/PUN declaring/VVG without/PRP a/AT0 hint/NN1 of/PRF shame/NN1-VVB her/DPS duplicity/NN1 as/CJS well/AV0 as/CJS her/DPS frankness/NN1 ./PUN Why/AVQ he/PNP did/VDD not/XX0 feel/VVI angrier/AJC"
"HGY","angrier","synthetic","none","none","she/PNP recovered/VVD her/DPS balance/NN1 and/CJC swung/VVD the/AT0 unwieldy/AJ0 implement/NN1-VVB the/AT0 other/AJ0 way/NN1 ,/PUN and/CJC the/AT0 more/AV0 he/PNP laughed/VVD ,/PUN the/AT0 angrier/AJC"
"ABU","angrier","synthetic","none","none","only/AV0 mean/VVI chaos/NN1 at/PRP the/AT0 Cabinet/NN1 meeting/VVG-NN1 itself/PNX ./PUN Next/ORD I/PNP went/VVD to/TO0 see/VVI Nigel/NP0 ./PUN I/PNP have/VHB rarely/AV0 been/VBN angrier/AJC"
"HH1","angrier","synthetic","none","none",",/PUN against/PRP all/DT0 reason/NN1-VVB ,/PUN she/PNP wanted/VVD him/PNP to/TO0 believe/VVI in/PRP her/DPS innocence/NN1 ./PUN Fool/VVB-NN1 ,/PUN she/PNP chastised/VVD herself/PNX ,/PUN angrier/AJC"
"HH9","angrier","synthetic","none","none","conversation/NN1 ./PUN Martin/NP0 apologized/VVD because/CJS he/PNP had/VHD shouted/VVN at/PRP Alice/NP0 in/PRP front/NN1 of/PRF them/PNP all/DT0 —/PUN he/PNP had/VHD been/VBN no/AT0 angrier/AJC"
"HJC","angrier","synthetic","none","none","‘/PUQ A/AT0 fucking/AJ0 liar/NN1 ,/PUN do/VDB you/PNP hear/VVI ?/PUN ’/PUQ She/PNP cowers/VVZ away/AV0 from/PRP me/PNP ./PUN This/DT0 makes/VVZ me/PNP even/AV0 angrier/AJC"
"CH1","emptier","synthetic","none","none","deals/NN2 ./PUN There/EX0 's/VBZ no/AT0 harm/NN1 in/PRP asking/VVG ./PUN PUBLIC/NN1 OPINION/NN1 CHURCH/NN1 OUT/AVP OF/PRF TOUCH/NN1 !/PUN NO/AT0 WONDER/NN1 churches/NN2 get/VVB emptier/AJC"
"ABA","emptier","synthetic","none","none","are/VBB the/AT0 descendants/NN2 of/PRF all/DT0 those/DT0 generations/NN2 that/CJT emigrated/VVD out/AVP of/PRF Europe/NP0 over/PRP the/AT0 last/ORD three/CRD centuries/NN2 to/TO0 populate/VVI the/AT0 emptier/AJC"
"CK0","emptier","synthetic","none","none","uncomfortable/AJ0 experience/NN1 ./PUN A/AT0 Letter/NN1 from/PRP Margaret/NP0 It/PNP was/VBD an/AT0 unusually/AV0 sultry/AJ0 afternoon/NN1 ,/PUN and/CJC Casualty/NN1 on/PRP my/DPS return/NN1 was/VBD emptier/AJC"
"ACN","emptier","synthetic","none","none","Around/PRP Ladbroke/NP0 Grove/NP0 ,/PUN Soho/NP0 ,/PUN and/CJC everywhere/AV0 that/DT0-CJT was/VBD touched/VVN by/PRP his/DPS singular/AJ0-NN1 energy/NN1 ,/PUN the/AT0 streets/NN2 seem/VVB somehow/AV0 emptier/AJC"
"FA2","emptier","synthetic","none","none","town/NN1 ,/PUN of/PRF Mauléon/NN1-NP0 ./PUN In/PRP human/AJ0 terms/NN2 ,/PUN the/AT0 Soule/NN1-NP0 ,/PUN and/CJC especially/AV0 the/AT0 Upper/AJ0 Soule/NN1 ,/PUN is/VBZ far/AV0 emptier/AJC"
"ACE","emptier","synthetic","none","none","state/NN1 of/PRF undress/NN1 ,/PUN feeling/VVG miserable/AJ0 ./PUN She/PNP had/VHD n't/XX0 slept/VVN well/AV0 and/CJC she/PNP was/VBD lonely/AJ0 ./PUN The/AT0 flat/NN1 felt/VVD emptier/AJC"
"AEB","emptier","synthetic","none","none","you/PNP ?/PUN ’/PUQ drawled/VVD Thacker/NP0 ,/PUN tilting/VVG his/DPS head/NN1 back/AVP further/AV0 for/PRP another/DT0 swig/NN1 ./PUN The/AT0 flask/NN1 was/VBD a/AT0 deal/NN1-VVB emptier/AJC"
"H8H","emptier","synthetic","none","none","?/PUN She/PNP saw/VVD her/DPS future/AJ0-NN1 flash/NN1 in/PRP front/NN1 of/PRF her/PNP like/PRP a/AT0 dying/AJ0 man/NN1 's/VBZ ,/PUN every/AT0 day/NN1 longer/AV0 and/CJC emptier/AJC"
"AT4","emptier","synthetic","none","none","Mrs/NP0 Nicholson/NP0 's/POS hairpins/NN2 and/CJC the/AT0 three/CRD of/PRF them/PNP shuffled/VVD and/CJC clacked/VVD respectively/AV0 for/PRP home/NN1 ,/PUN grateful/AJ0 for/PRP the/AT0 now/AV0 emptier/AJC"
"ADD","emptier","synthetic","none","none","from/PRP being/VBG discouraged/VVN ‘/PUQ it/PNP stood/VVD all/AV0 the/AT0 more/AV0 firmly/AV0 and/CJC unerringly/AV0 behind/PRP his/DPS great/AJ0 aims/NN2 ’/PUQ ,/PUN sounded/VVD even/AV0 emptier/AJC"
"K4W","friendlier","synthetic","none","none","the/AT0 Women/NN2 of/PRF the/AT0 North/NN1 lunch/NN1 in/PRP Harrogate/NP0 ,/PUN like/PRP the/AT0 Woman/NN1 of/PRF the/AT0 Year/NN1 in/PRP London/NP0 ‘/PUQ only/AV0 much/AV0 friendlier/AJC"
"FR5","friendlier","synthetic","none","none","house/NN1 ,/PUN though/AV0 ,/PUN a/AT0 nurse/NN1 stayed/VVD overnight/AV0 ,/PUN in/PRP case/NN1 anyone/PNI went/VVD into/PRP labour/NN1 ./PUN It/PNP was/VBD a/AT0 lot/NN1 friendlier/AJC"
"KRG","friendlier","synthetic","none","none","it/PNP may/VM0 well/AV0 be/VBI ,/PUN that/CJT these/DT0 objections/NN2 will/VM0 just/AV0 be/VBI overridden/VVN by/PRP the/AT0 market/NN1 ./PUN If/CJS the/AT0 new/AJ0 ,/PUN friendlier/AJC"
"AC4","friendlier","synthetic","none","none","./PUN I/PNP want/VVB to/TO0 tell/VVI you/PNP —/PUN ‘/PUQ ‘/PUQ Wait/VVB a/AT0 moment/NN1 ./PUN ’/PUQ The/AT0 woman/NN1 did/VDD not/XX0 sound/VVI any/DT0 friendlier/AJC"
"CJH","friendlier","synthetic","none","none","in/PRP ruins/NN2 :/PUN a/AT0 sad/AJ0 emphasis/NN1 of/PRF the/AT0 desolation/NN1 around/AVP ./PUN Most/DT0 visitors/NN2 will/VM0 be/VBI glad/AJ0 to/TO0 return/VVI to/PRP the/AT0 friendlier/AJC"
"HRT","friendlier","synthetic","none","none","general/AJ0 manager/NN1 —/PUN East/NP0 Anglia/NP0 ./PUN I/PNP worked/VVD closely/AV0 with/PRP [gap:name]/UNC for/PRP 30/CRD years/NN2 and/CJC that/DT0 relationship/NN1 became/VVD closer/AV0 and/CJC friendlier/AJC"
"CFT","friendlier","synthetic","none","none","against/PRP rusting/VVG ,/PUN which/DTQ should/VM0 see/VVI you/PNP nicely/AV0 into/PRP the/AT0 next/ORD millennium/NN1 ./PUN The/AT0 Trabant/NP0 features/VVZ a/AT0 new/AJ0 1100cc/NN0 environmentally/AV0 friendlier/AJC"
"CM1","friendlier","synthetic","none","none","had/VHD taken/VVN a/AT0 far/AJ0 different/AJ0 path/NN1 from/PRP the/AT0 High/AJ0 Elves/NN2 ./PUN They/PNP seemed/VVD rustic/AJ0 and/CJC backward/AJ0 and/CJC yet/AV0 they/PNP were/VBD friendlier/AJC"
"CNV","friendlier","synthetic","none","none","The/AT0 outlook/NN1 remains/VVZ uncertain/AJ0 for/PRP P-E/NP0 though/CJS improvement/NN1 is/VBZ expected/VVN-AJ0 ,/PUN based/VVN on/PRP the/AT0 group/NN1 's/POS own/DT0 performance/NN1 rather/AV0 than/CJS friendlier/AJC"
"AJA","friendlier","synthetic","none","none","like/PRP work/NN1 ./PUN Life/NN1 down/AVP here/AV0 is/VBZ conducted/VVN at/PRP a/AT0 far/AV0 more/AV0 relaxed/AJ0 pace/NN1 of/PRF life/NN1 and/CJC the/AT0 people/NN0 are/VBB friendlier/AJC"
"A1M","friendlier","synthetic","none","none","and/CJC newly/AV0 introduced/VVN )/PUR were/VBD less/AV0 aggressive/AJ0 towards/PRP infants/NN2 when/CJS the/AT0 mother/NN1 was/VBD in/PRP sight/NN1 ./PUN Alpha/NN1 males/NN2 were/VBD consistently/AV0 friendlier/AJC"
"HH1","friendlier","synthetic","none","none","she/PNP asked/VVD the/AT0 grey/NN1 ./PUN He/PNP flicked/VVD his/DPS ears/NN2 at/PRP her/PNP and/CJC snorted/VVD politely/AV0 ./PUN ‘/PUQ You/PNP 're/VBB a/AT0 lot/NN1 friendlier/AJC"
"AKM","friendlier","synthetic","none","none","destined/VVN for/PRP low/AJ0 volume/NN1 applications/NN2 ./PUN He/PNP is/VBZ also/AV0 optimistic/AJ0 about/PRP the/AT0 future/NN1 of/PRF the/AT0 diesel/NN1 car/NN1 ./PUN Encouraged/VVN by/PRP friendlier/AJC"
"A1M","friendlier","synthetic","none","none","there/EX0 was/VBD a/AT0 chance/NN1 that/CJT the/AT0 infant/NN1 was/VBD their/DPS own/DT0 ./PUN Subordinate/AJ0 males/NN2 ,/PUN on/PRP the/AT0 other/AJ0 hand/NN1 ,/PUN were/VBD friendlier/AJC"
"A1M","friendlier","synthetic","none","none","perhaps/AV0 because/CJS their/DPS own/DT0 rank/NN1 might/VM0 increase/VVI if/CJS they/PNP managed/VVD to/TO0 associate/VVI themselves/PNX with/PRP such/DT0 females/NN2 ./PUN They/PNP were/VBD also/AV0 friendlier/AJC"
"J2G","friendlier","synthetic","none","none","said/VVD why/AVQ do/VDB n't/XX0 you/PNP leave/VVI him/PNP alone/AJ0 ./PUN /PUQ His/DPS tone/NN1 changed/VVD-VVN ./PUN All/DT0 of/PRF a/AT0 sudden/NN1 it/PNP sounded/VVD friendlier/AJC""
"HGV","friendlier","synthetic","none","none","Thank/VVB you/PNP ,/PUN you/PNP are/VBB very/AV0 kind/AJ0 ,/PUN ’/PUQ Theda/NP0 said/VVD gratefully/AV0 ,/PUN glad/AJ0 to/TO0 find/VVI Mrs/NP0 Diggory/NP0 a/AT0 much/AV0 friendlier/AJC"
"CD9","friendlier","synthetic","none","none","into/PRP the/AT0 paddock/NN1 ,/PUN a/AT0 world/NN1 he/PNP 'd/VHD always/AV0 had/VHN ,/PUN that/DT0 was/VBD completely/AV0 self-sufficient/AJ0 and/CJC had/VHD a/AT0 cleaner/NN1 ,/PUN friendlier/AJC"
"EDJ","friendlier","synthetic","none","none","Wyatt/NP0 wore/VVD patent-leather/AJ0 shoes/NN2 and/CJC a/AT0 smart/AJ0 brownish/AJ0 suit/NN1 with/PRP a/AT0 gold/NN1-AJ0 brooch/NN1 ./PUN She/PNP was/VBD polite/AJ0 ,/PUN but/CJC no/AT0 friendlier/AJC"
"EX6","friendlier","synthetic","none","none","what/DTQ has/VHZ been/VBN said/VVN with/PRP reference/NN1 to/PRP TV/NN1 also/AV0 applies/VVZ to/PRP radio/NN1 ./PUN On/PRP the/AT0 whole/NN1 ,/PUN radio/NN1 stations/NN2 are/VBB friendlier/AJC"
"CBX","friendlier","synthetic","none","none","./PUN The/AT0 advent/NN1 of/PRF Windows/NN2 spreadsheets/NN2 such/DT0 as/PRP Excel/VVB ,/PUN did/VDD ,/PUN for/PRP many/DT0 people/NN0 ,/PUN result/VVB-NN1 in/PRP a/AT0 much/AV0 friendlier/AJC"
"CBU","friendlier","synthetic","none","none","it/PNP has/VHZ been/VBN designed/VVN to/TO0 look/VVI and/CJC feel/VVI like/PRP a/AT0 CD/NN1 player/NN1 or/CJC VCR/NP0 ./PUN This/DT0 makes/VVZ the/AT0 format/NN1 much/AV0 friendlier/AJC"
"K1R","friendlier","synthetic","none","none","some/DT0 of/PRF the/AT0 seven/CRD million/CRD pounds/NN2 the/AT0 British/AJ0 taxpayer/NN1 is/VBZ putting/VVG into/PRP setaside/NN1 to/TO0 be/VBI spent/VVN on/PRP making/VVG farms/NN2 a/AT0 friendlier/AJC"
"FT8","friendlier","synthetic","none","none","have/VHB to/TO0 open/VVI more/AV0 than/CJS two/CRD windows/NN2 on-screen/AJ0 at/PRP once/AV0 for/PRP cutting/VVG-NN1 and/CJC pasting/VVG-NN1 ./PUN WordStar/NP0 now/AV0 has/VHZ a/AT0 much/AV0 friendlier/AJC"
"HTR","friendlier","synthetic","none","none","idea/NN1 what/DTQ to/TO0 do/VDI once/AV0 she/PNP got/VVD there/AV0 ./PUN ‘/PUQ Wait/VVB a/AT0 minute/NN1 ,/PUN ’/PUQ said/VVD Tracey/NP0 ,/PUN in/PRP a/AT0 friendlier/AJC"
"K5F","friendlier","synthetic","none","none","objective/AJ0 and/CJC you/PNP do/VDB get/VVI sucked/VVN into/PRP the/AT0 picture/NN1 they/PNP 're/VBB presenting/VVG to/PRP you/PNP ./PUN Also/AV0 ,/PUN as/CJS you/PNP get/VVB friendlier/AJC"
"J2T","friendlier","synthetic","none","none","26/CRD ,/PUN 28/CRD February/NP0 Transport/NN1-VVB First/ORD environmental/AJ0 car/NN1 race/NN1 Australia/NP0 has/VHZ staged/VVN the/AT0 first/ORD Grand/UNC Prix/UNC restricted/VVN to/PRP /PUQ environmentally/AV0 friendlier/AJC""
"ABJ","friendlier","synthetic","none","none","car-maker/NN1 to/TO0 go/VVI into/PRP business/NN1 in/PRP Eastern/AJ0 Europe/NP0 ./PUN Electronic/AJ0 soup/NN1 AT&T/NP0 's/POS hostile/AJ0 bid/NN1 for/PRP NCR/NP0 turned/VVD a/AT0 lot/NN1 friendlier/AJC"
"FT8","friendlier","synthetic","none","none","up/AVP to/PRP 68/CRD characters/NN2 in/PRP length/NN1 Like/PRP WordStar/NP0 ,/PUN WordPerfect/NP0 has/VHZ drop-down/AJ0 menus/NN2 ,/PUN making/VVG it/PNP look/VVI a/AT0 whole/AJ0 lot/NN1 friendlier/AJC"
"FU3","friendlier","synthetic","none","none","…/PUN Divisive/AJ0 though/CJS the/AT0 national/AJ0 guard/NN1 proposals/NN2 might/VM0 be/VBI ,/PUN the/AT0 Morning/NN1 Chronicle/NN1 took/VVD them/PNP up/AVP ,/PUN and/CJC ,/PUN being/VBG friendlier/AJC"
"ABJ","friendlier","synthetic","none","none","may/VM0 find/VVI itself/PNX facing/VVG the/AT0 last/ORD generation/NN1 of/PRF its/DPS own/DT0 weapons/NN2 ,/PUN which/DTQ it/PNP had/VHD sold/VVN to/PRP its/DPS enemy/NN1 in/PRP friendlier/AJC"
"HTR","friendlier","synthetic","none","none","to/PRP Dr/NP0 Lawson/NP0 ,/PUN Dr/NP0 Loretta/NP0 Lawson/NP0 ./PUN ’/PUQ ‘/PUQ That/DT0 's/VBZ me/PNP ,/PUN ’/PUQ Loretta/NP0 said/VVD ,/PUN in/PRP a/AT0 friendlier/AJC"
"GXG","friendlier","synthetic","none","none","Summit/NN1 ,/PUN and/CJC lead/VVB-NN1 to/PRP environmental/AJ0 disaster/NN1 ,/PUN ’/PUQ he/PNP warned/VVD ./PUN Here/AV0 in/PRP Wales/NP0 ,/PUN we/PNP are/VBB pioneering/VVG environmentally/AV0 friendlier/AJC"
"ABH","friendlier","synthetic","none","none","vote/VVI for/PRP change/NN1 ./PUN If/CJS they/PNP do/VDB not/XX0 change/VVI ,/PUN tax/NN1-VVB revenue/NN1 may/VM0 fall/VVI anyway/AV0 ,/PUN as/CJS business/NN1 leaves/VVZ-NN2 for/PRP friendlier/AJC"
"GWG","friendlier","synthetic","none","none","reverberated/VVD with/PRP the/AT0 fat/AJ0-NN1 woman/NN1 's/POS cry/NN1 of/PRF ‘/PUQ Rain/NN1 !/PUN ’/PUQ as/CJS she/PNP abandoned/VVD Riley/NP0 in/PRP favour/NN1 of/PRF a/AT0 friendlier/AJC"
"GW4","friendlier","synthetic","none","none","sharp/AJ0 opposition/NN1 of/PRF state/NN1 and/CJC civil/AJ0 society/NN1 was/VBD fundamentally/AV0 altered/VVN in/PRP the/AT0 years/NN2 of/PRF the/AT0 Weimar/NP0 Republic/NN1 when/CJS-AVQ a/AT0 much/AV0 friendlier/AJC"
"ABE","friendlier","synthetic","none","none",")/PUR cabarets/NN2 ,/PUN as/CJS good/AJ0 for/PRP a/AT0 snigger/NN1 ./PUN Are/VBB they/PNP just/AJ0 being/VBG over-sensitive/AJ0 ?/PUN That/DT0 is/VBZ one/CRD of/PRF the/AT0 friendlier/AJC"
"A6T","friendlier","synthetic","none","none","café/NN1 that/CJT sold/VVD pizza/NN1 and/CJC chips/NN2 for/PRP less/DT0 than/CJS the/AT0 small/AJ0 fortune/NN1 we/PNP expected/VVD ,/PUN and/CJC served/VVD-VVN by/PRP a/AT0 girl/NN1 friendlier/AJC"
"C9M","friendlier","synthetic","none","none","would/VM0 have/VHI been/VBN unthinkable/AJ0 only/AV0 a/AT0 few/DT0 years/NN2 ago/AV0 ./PUN BIG/AJ0 BRAAANG/NN1 THEORY/NN1 Jackson/NP0 Infinity/NN1 XL/CRD Pointiness/NP0-NN1 is/VBZ lent/VVN a/AT0 friendlier/AJC"
"JXY","friendlier","synthetic","none","none","He/PNP glanced/VVD at/PRP her/PNP almost/AV0 as/PRP if/CJS he/PNP was/VBD reading/VVG her/DPS thoughts/NN2 ./PUN ‘/PUQ That/CJT we/PNP try/VVB to/TO0 achieve/VVI a/AT0 friendlier/AJC"
"C8F","friendlier","synthetic","none","none","buses/NN2 from/PRP congestion/NN1 delay/NN1-VVB at/PRP traffic/NN1 lights/NN2 by/PRP providing/VVG priority/NN1 treatment/NN1 or/CJC bus/NN1-VVB lanes/NN2 ./PUN Stops/NN2 were/VBD to/TO0 be/VBI made/VVN friendlier/AJC"
"JY9","friendlier","synthetic","none","none","picture/NN1 ./PUN ’/PUQ Leif/NP0-NN1 frowned/VVD at/PRP the/AT0 toddler/NN1 who/PNQ was/VBD happily/AV0 clutching/VVG at/PRP the/AT0 steering-wheel/NN1 ./PUN ‘/PUQ Thomas/NP0 is/VBZ far/AV0 friendlier/AJC"
"G3G","friendlier","synthetic","none","none","hide/VVB and/CJC a/AT0 report/NN1 on/PRP the/AT0 blasted/AJ0 stone/NN1 cover/NN1-VVB at/PRP the/AT0 opening/NN1 ,/PUN and/CJC with/PRP theses/NN2 verifications/NN2 the/AT0 authorities/NN2 grew/VVD friendlier/AJC"
"G2D","friendlier","synthetic","none","none","The/AT0 long/AJ0 hot/AJ0 summers/NN2 ,/PUN coupled/VVN-VVD with/PRP perhaps/AV0 a/AT0 spell/NN1 in/PRP oak/NN1 casks/NN2 ,/PUN dish/VVB-NN1 up/AVP-PRP the/AT0 gooseberries/NN2 in/PRP the/AT0 friendlier/AJC"
"G00","friendlier","synthetic","none","none","other/NN1 ./PUN Text/NN1 does/VDZ n't/XX0 need/VVI to/TO0 be/VBI justified/VVN ,/PUN a/AT0 lot/NN1 of/PRF research/NN1 indicates/VVZ that/CJT-DT0 ragged/AJ0 columns/NN2 are/VBB ‘/PUQ friendlier/AJC"
"BMS","livelier","synthetic","none","none","hate/VVI it/PNP ?/PUN I/PNP 've/VHB seen/VVN him/PNP talking/VVG to/PRP actors/NN2 in/PRP the/AT0 bar/NN1 —/PUN he/PNP 's/VBZ happy/AJ0 enough/AV0 then/AV0 —/PUN livelier/AJC"
"HWM","livelier","synthetic","none","none","On/PRP either/DT0 side/NN1 of/PRF the/AT0 central/AJ0 aisle/NN1 ,/PUN heads/NN2 nodded/VVD at/PRP the/AT0 buildings/NN2 and/CJC streets/NN2 around/PRP them/PNP as/PRP-CJS a/AT0 now/AV0 livelier/AJC"
"GUH","livelier","synthetic","none","none","an/AT0 ecclesiastic/AJ0 ;/PUN Wert/VBD 's/POS temperament/NN1 was/VBD very/AV0 different/AJ0 ./PUN He/PNP also/AV0 had/VHD the/AT0 advantage/NN1 of/PRF employment/NN1 at/PRP a/AT0 much/AV0 livelier/AJC"
"K2N","livelier","synthetic","none","none","said/VVD after/PRP chatting/VVG to/PRP the/AT0 teenager/NN1 in/PRP her/DPS hospital/NN1 bed/NN1 today/AV0 :/PUN ‘/PUQ She/PNP thought/VVD Blackpool/NP0 would/VM0 be/VBI probably/AV0 somewhat/AV0 livelier/AJC"
"K4V","livelier","synthetic","none","none","a/AT0 Coke-aholic/AJ0 )/PUR came/VVD without/PRP ice/NN1 ,/PUN lemon/NN1 and/CJC (/PUL rather/AV0 like/PRP the/AT0 evening/NN1 )/PUR fizz/NN1-VVB ./PUN Clearly/AV0 things/NN2 are/VBB livelier/AJC"
"FYV","livelier","synthetic","none","none",",/PUN by/PRP all/DT0 this/DT0 fieldwork/NN1 we/PNP 're/VBB doing/VDG ,/PUN our/DPS lone/AJ0 sex/NN1 sessions/NN2 have/VHB ,/PUN of/PRF late/AV0 ,/PUN become/VVB unrecognizably/AV0 livelier/AJC"
"GW2","livelier","synthetic","none","none","whether/CJS Walterkin/NP0-NN1 had/VHD bribed/VVN her/PNP to/TO0 let/VVI him/PNP into/PRP the/AT0 cubicle/NN1 ./PUN Outside/AV0 ,/PUN the/AT0 city/NN1 seemed/VVD to/TO0 have/VHI become/VVN livelier/AJC"
"C9N","livelier","synthetic","none","none","Some/DT0 people/NN0 prefer/VVB the/AT0 solidity/NN1 and/CJC dark/NN1-AJ0 ,/PUN woody/AJ0 tone/NN1 that/DT0 a/AT0 glued/AJ0 neck/NN1 helps/NN2-VVZ impart/VVI ;/PUN others/NN2 like/PRP the/AT0 livelier/AJC"
"C9P","livelier","synthetic","none","none","the/AT0 hair/NN1 to/TO0 break/VVI up/AVP the/AT0 texture/NN1 and/CJC smooth/VVB down/AVP-PRP the/AT0 coarseness/NN1 of/PRF the/AT0 hair/NN1 ./PUN The/AT0 Result/NN1 :/PUN A/AT0 livelier/AJC"
"ADL","livelier","synthetic","none","none","full/AJ0 story/NN1 had/VHD been/VBN told/VVN ./PUN By/PRP then/AV0 ,/PUN Iran-contra/NP0 was/VBD no/AV0 longer/AV0 a/AT0 good/AJ0 movie/NN1 ,/PUN even/AV0 if/CJS the/AT0 livelier/AJC"
"H0N","livelier","synthetic","none","none","of/PRF Tristan/NP0 in/PRP 1865/CRD had/VHD not/XX0 prompted/VVN any/DT0 discernible/AJ0 reaction/NN1 in/PRP him/PNP ,/PUN on/PRP this/DT0 occasion/NN1 he/PNP took/VVD a/AT0 much/AV0 livelier/AJC"
"H7A","livelier","synthetic","none","none","smell/NN1 of/PRF frying/NN1 ./PUN The/AT0 Queen/NP0 Victoria/NP0 Hotel/NN1 and/CJC the/AT0 Marine/NN1 ,/PUN the/AT0 Duke/NN1 's/POS Head/NN1 and/CJC the/AT0 Swan/NP0-NN1 were/VBD livelier/AJC"
"A68","livelier","synthetic","none","none","in/PRP the/AT0 family/NN1 pew/NN1 ./PUN He/PNP thought/VVD the/AT0 extemporary/AJ0-NN1 prayer/NN1 very/AV0 long/AJ0-AV0 and/CJC hard/AJ0-AV0 to/TO0 bear/VVI ./PUN The/AT0 sermons/NN2 were/VBD livelier/AJC"
