"Word","Frequency"
"orbit",1
"order",1
"organisation",1
"organism",1
"organization",1
"orgasm",1
"orientation",1
"osteoarthritis",1
"outburst",1
"outing",1
"output",1
"over-confidence",1
"over-stimulation",1
"over-tightening",1
"over-use",1
"overfall",1
"overgrowth",1
"overhead",1
"overlap",1
"overpopulation",1
"overrun",1
"ownership",1
"package",1
"packet",1
"painting",1
"palsy",1
"paradox",1
"parish",1
"parliamentarian",1
"parthenogenesis",1
"particle",1
"particular",1
"passenger",1
"passing",1
"passport",1
"past",1
"pat",1
"patchiness",1
"patriotism",1
"pavement",1
"peace-time",1
"peach",1
"peasant",1
"peculiarity",1
"pedestrian",1
"peeling",1
"percent",1
"perforation",1
"period",1
"periodontitis",1
"permafrost",1
"permeability",1
"perplexity",1
"persecution",1
"pessimism",1
"pet",1
"philosopher",1
"photograph",1
"photophobia",1
"pickup",1
"picture",1
"piece",1
"pigeon-fancier",1
"pile-up",1
"pilger",1
"piling",1
"piling-up",1
"pilot",1
"pin",1
"pinch",1
"pipe",1
"pipe-trained",1
"pitting",1
"plan",1
"plane",1
"planet",1
"plastic",1
"plate",1
"player",1
"plenty",1
"plight",1
"plunge",1
"pod",1
"pointe",1
"policeman",1
"polio",1
"politics",1
"poll",1
"pollution.clare",1
"polymer",1
"polypad",1
"pop-eye",1
"pope",1
"pore",1
"pornography",1
"portion",1
"poser",1
"position",1
"posthole",1
"postponement",1
"pot-belly",1
"potential",1
"potentiation",1
"pottery",1
"praise",1
"pram",1
"precedent",1
"precipitate",1
"precipitation",1
"preference",1
"pregnancy",1
"prejudice",1
"premise",1
"preservation",1
"prevention",1
"prickling",1
"principal",1
"probe",1
"procf",1
"product",1
"profit",1
"progress",1
"promoter",1
"pronation",1
"proportion",1
"proprietor",1
"prosecutor",1
"prospect",1
"prostatitis",1
"protection",1
"protein",1
"protraction",1
"provision",1
"provocation",1
"pruritus",1
"pseudohyponatraemia",1
"psychopathology",1
"publication",1
"puffiness",1
"pulsation",1
"pulse",1
"puncture",1
"purchase",1
"purchaser",1
"purist",1
"quality",1
"quantum",1
"quarrel",1
"quarter",1
"query",1
"queue",1
"quiver",1
"rabbit",1
"radiator",1
"rage",1
"raid",1
"rail",1
"railway",1
"rally",1
"ramp",1
"rancour",1
"randomness",1
"rangers",1
"rank",1
"rape",1
"raper",1
"rat-1/c-myc-er",1
"rationality",1
"rattle",1
"rattling",1
"re-appraisal",1
"re-awakening",1
"re-coalification",1
"re-entry",1
"re-examination",1
"re-interpretation",1
"reactor",1
"readjustment",1
"rebellion",1
"recall",1
"receiver",1
"receivership",1
"recombination",1
"recommendation",1
"recurrence",1
"red",1
"reddening",1
"referee",1
"referral",1
"reflection",1
"reflex",1
"reflux",1
"refrigeration",1
"refuge",1
"regard",1
"regeneration",1
"region",1
"regret",1
"rejection",1
"rejuvenation",1
"relationship",1
"relaxation",1
"religion",1
"remainder",1
"remark",1
"remedy",1
"remittance",1
"reorganisation",1
"repetition",1
"replacement",1
"reply",1
"reproach",1
"republic",1
"republican",1
"reputation",1
"request",1
"requirement",1
"resident",1
"resolution",1
"respect",1
"rest",1
"restlessness",1
"restraint",1
"restriction",1
"restructuring",1
"resumption",1
"retailer",1
"retaliation",1
"retard",1
"rethinking",1
"retina",1
"retraction",1
"retreat",1
"retroviruse",1
"return",1
"reverberation",1
"reverse",1
"reversion",1
"review",1
"revisal",1
"rheumatism",1
"rhinoceros",1
"rhombomere",1
"rhythm",1
"ribbonman",1
"ridicule",1
"right",1
"rioting",1
"rival",1
"roadie",1
"roar",1
"rogue",1
"rokkaku",1
"role",1
"roll",1
"root",1
"rotor",1
"round",1
"rubber",1
"ruckus",1
"rugby",1
"ruin",1
"rule",1
"rumbling",1
"rumour",1
"run-down",1
"run-off",1
"runway",1
"rust",1
"rustle",1
"réclame",1
"régime",1
"saccharin",1
"sacrifice",1
"sag",1
"sales",1
"salmon",1
"sample",1
"saponification",1
"sarcasm",1
"scalding",1
"scar",1
"scare",1
"scheduling",1
"scheme",1
"schizophrenia",1
"science",1
"scot",1
"scourge",1
"scrap",1
"scratch",1
"screech",1
"screening",1
"scrummage",1
"scuffle",1
"scurry",1
"scurvy",1
"sea-level",1
"seal",1
"search",1
"season",1
"seat",1
"secondary",1
"sedation",1
"self-crisis",1
"self-harm",1
"self-respect",1
"sense-perception",1
"sensitivity",1
"separatism",1
"sepsis",1
"sequence",1
"seriousness",1
"set",1
"setback",1
"settler",1
"sever",1
"sex",1
"shadows",1
"shake-out",1
"shake-up",1
"shallow",1
"sharka",1
"shedding",1
"sheep",1
"shin",1
"shingles",1
"ship",1
"shipping",1
"shipwreck",1
"shiver",1
"shoe",1
"shoot",1
"short-wave",1
"shoulder",1
"showe",1
"shower",1
"shudder",1
"shunt",1
"siacupuncturist",1
"siege",1
"signal",1
"silence",1
"simultaneity",1
"sister",1
"situation",1
"skip",1
"skipping",1
"skitter",1
"skull",1
"sky",1
"slander",1
"sleeping",1
"slice",1
"slick",1
"slide",1
"sliver",1
"slowness",1
"sludging",1
"smear",1
"smith",1
"snake",1
"sociologist",1
"soften",1
"softening",1
"soiling",1
"solid",1
"son",1
"song",1
"sore",1
"sorrow",1
"sorte",1
"source",1
"space",1
"spasticity",1
"spear",1
"species",1
"speck",1
"spell",1
"sperm",1
"spiral",1
"spirit",1
"splotch",1
"spoilage",1
"sporting",1
"spray",1
"spreading",1
"sprinkler",1
"squeal",1
"squint",1
"stability",1
"stage",1
"stagnation",1
"stakeholder",1
"staleness",1
"stammer",1
"stampede",1
"stare",1
"starvation",1
"stasis",1
"statement",1
"stationer",1
"statute",1
"stay",1
"steal",1
"step",1
"sterling",1
"stillbirth",1
"stockpile",1
"stop",1
"stoppage",1
"storage",1
"story",1
"strand",1
"streak",1
"stream",1
"street",1
"strength",1
"stretch",1
"stricture",1
"stroke",1
"stumble",1
"stupor",1
"stushie",1
"styman",1
"submergence",1
"substance",1
"substitute",1
"success",1
"successor",1
"suffer",1
"sum",1
"sun",1
"sunset",1
"sunspot",1
"superpower",1
"surf",1
"surveyor",1
"susceptibility",1
"swarming",1
"swine",1
"symap",1
"syntax",1
"table",1
"tack",1
"taillessness",1
"tally",1
"tank",1
"tar",1
"tax",1
"taxing",1
"taxonomist",1
"technique",1
"technology",1
"tectonism",1
"telephony",1
"temperature",1
"temptation",1
"tensing",1
"tentacle",1
"terrace",1
"territory",1
"test",1
"tetanus",1
"thalidomide",1
"theatre",1
"theft",1
"thermoluminescence",1
"thiamine",1
"thrombus",1
"through-draught",1
"thrush",1
"thrust",1
"thunder",1
"ticket",1
"ticking",1
"tiddler",1
"tide",1
"timetable",1
"timing",1
"tip",1
"tirade",1
"titter",1
"tizz",1
"toe-in",1
"tonne",1
"tooth",1
"torment",1
"torque/current",1
"torsion",1
"torture",1
"touchline",1
"toughness",1
"town",1
"township",1
"toxicara",1
"tracheitis",1
"trachoma",1
"track",1
"traffic-jam",1
"trajectory",1
"tranquillity",1
"trans-pennine",1
"transaction",1
"transit",1
"translation",1
"trap",1
"traveller",1
"travelling",1
"treasure-seeking",1
"trend",1
"trepidation",1
"trifle",1
"trim",1
"trimming",1
"triple",1
"tubal",1
"tummy",1
"tumult",1
"turf",1
"turn",1
"turn-around",1
"turn-up",1
"turning",1
"turnover",1
"tv",1
"umpire",1
"underclass",1
"underestimation",1
"understeer",1
"undoing",1
"unemployment-",1
"unloading",1
"unpleasantness",1
"unpredictability",1
"unruliness",1
"unsafety",1
"unwinding",1
"upbringing",1
"upsurge",1
"upturn",1
"upwelling",1
"uranium",1
"urethritis",1
"urticaria",1
"utility",1
"vacuolisation",1
"vacuum",1
"value/bank",1
"valve",1
"vandalism",1
"vapour",1
"variability",1
"variable",1
"variance",1
"vasoconstriction",1
"vasodilatation",1
"vasodilation",1
"vat",1
"vegetation",1
"venom",1
"verification",1
"vest",1
"veteran",1
"viewer",1
"viking",1
"village",1
"violet",1
"virgin",1
"virus",1
"visibility",1
"vitamin",1
"vole",1
"voltage",1
"volte-face",1
"vulvitis",1
"wail",1
"wailing",1
"walk-out",1
"want",1
"wardrobe",1
"warping",1
"wart",1
"wastage",1
"waterlog",1
"waterlogging",1
"watershed",1
"waterway",1
"waveform",1
"wealth",1
"weather",1
"weightlifter",1
"wheel",1
"whirlwind",1
"whpple",1
"widening",1
"will",1
"windscreen",1
"wing",1
"wing-drop",1
"winter",1
"wire",1
"withholding",1
"wobbling",1
"wolf",1
"womb",1
"wonder",1
"wonderment",1
"workforce",1
"working",1
"working-class",1
"workplace",1
"works",1
"wrangling",1
"wreck",1
"wrist",1
"writ",1
"xdisp",1
"yegor",1
"yiddish",1
"yield",1
"zealot",1
"zeke",1
"£1",1
"£1,500,000-worth",1
"£10",1
"£10,000",1
"£1000",1
"£120",1
"£13",1
"£14m",1
"£15",1
"£150",1
"£2,100",1
"£20,000-worth",1
"£25",1
"£25,000",1
"£250,000",1
"£2m",1
"£3,000",1
"£3,400",1
"£30",1
"£300",1
"£300m",1
"£35",1
"£400,000",1
"£40m",1
"£5,000",1
"£500",1
"£567",1
"£570",1
"£60,000",1
"£600",1
"£600,000",1
"£650,000",1
"£67,000",1
"£681",1
"£6m",1
"£73,000",1
"£750",1
"£800",1
"£800m",1
"£9,000",1
